Block/Room,bedsTaken,block,room,bedsAvailable,roomLocation,maxOccupancy,size,code,vacancyStatus,bedsRemaining,price
Block 1 Room 1,2,1,1,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,FULLY BOOKED,0,5800
Block 1 Room 2,0,1,2,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 3,2,1,3,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 1 Room 4,0,1,4,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 1 Room 5,3,1,5,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,1,2750
Block 1 Room 6,2,1,6,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 1 Room 7,1,1,7,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 1 Room 8,1,1,8,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 1 Room 9,2,1,9,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 1 Room 10,2,1,10,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 1 Room 11,1,1,11,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 1 Room 12,0,1,12,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,2,5800
Block 1 Room 13,2,1,13,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,FULLY BOOKED,0,5800
Block 1 Room 14,0,1,14,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 1 Room 15,1,1,15,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,1,5500
Block 1 Room 16,1,1,16,1,First Floor,1-in-a-room,Small,First Floor 1-in-a-room Small,FULLY BOOKED,0,11000
Block 1 Room 17,2,1,17,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,2,2750
Block 1 Room 18,0,1,18,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 1 Room 19,2,1,19,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 1 Room 20,0,1,20,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 21,2,1,21,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 1 Room 22,2,1,22,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 1 Room 23,0,1,23,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 24,2,1,24,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,FULLY BOOKED,0,5800
Block 1 Room 25,1,1,25,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,1,5800
Block 1 Room 26,0,1,26,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 1 Room 27,0,1,27,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 28,1,1,28,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,1,5500
Block 1 Room 29,0,1,29,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 30,1,1,30,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,1,5500
Block 1 Room 31,0,1,31,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 32,0,1,32,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 1 Room 33,0,1,33,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 34,4,1,34,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,FULLY BOOKED,0,2750
Block 1 Room 35,0,1,35,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 1 Room 36,2,1,36,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,FULLY BOOKED,0,5800
Block 2 Room 1,1,2,1,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,1,5800
Block 2 Room 2,0,2,2,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 3,0,2,3,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 4,2,2,4,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,2,2750
Block 2 Room 5,0,2,5,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 6,0,2,6,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 7,0,2,7,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 8,1,2,8,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 2 Room 9,0,2,9,1,Ground Floor,1-in-a-room,Small,Ground Floor 1-in-a-room Small,VACANCY,1,11000
Block 2 Room 10,0,2,10,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 11,1,2,11,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 2 Room 12,1,2,12,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,1,5800
Block 2 Room 13,2,2,13,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,VACANCY,1,3870
Block 2 Room 14,0,2,14,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 15,0,2,15,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 16,0,2,16,1,First Floor,1-in-a-room,Small,First Floor 1-in-a-room Small,VACANCY,1,11000
Block 2 Room 17,1,2,17,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,1,5500
Block 2 Room 18,2,2,18,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 2 Room 19,0,2,19,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 20,1,2,20,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,3,2750
Block 2 Room 21,0,2,21,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 22,0,2,22,2,First Floor,2-in-a-room,Small,First Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 23,0,2,23,4,First Floor,4-in-a-room,Small,First Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 24,3,2,24,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,FULLY BOOKED,0,3870
Block 2 Room 25,0,2,25,2,Terrace,2-in-a-room,Small,Terrace 2-in-a-room Small,VACANCY,2,5800
Block 2 Room 26,0,2,26,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 27,0,2,27,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 28,0,2,28,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 29,0,2,29,4,Second Floor,4-in-a-room,Small,Second Floor 4-in-a-room Small,VACANCY,4,2750
Block 2 Room 30,1,2,30,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,1,5500
Block 2 Room 31,0,2,31,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 32,0,2,32,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 33,0,2,33,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 34,2,2,34,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 2 Room 35,0,2,35,2,Second Floor,2-in-a-room,Small,Second Floor 2-in-a-room Small,VACANCY,2,5500
Block 2 Room 36,0,2,36,3,Terrace,3-in-a-room,Small,Terrace 3-in-a-room Small,VACANCY,3,3870
Block 3 Room 1,3,3,1,4,Terrace,4-in-a-room,Small,Terrace 4-in-a-room Small,VACANCY,1,2900
Block 3 Room 2,0,3,2,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,4,2750
Block 3 Room 3,2,3,3,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,FULLY BOOKED,0,5500
Block 3 Room 4,0,3,4,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 5,1,3,5,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
Block 3 Room 6,1,3,6,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 3 Room 7,1,3,7,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,1,5500
Block 3 Room 8,0,3,8,2,Ground Floor,2-in-a-room,Small,Ground Floor 2-in-a-room Small,VACANCY,2,5500
Block 3 Room 9,1,3,9,4,Ground Floor,4-in-a-room,Small,Ground Floor 4-in-a-room Small,VACANCY,3,2750
